CÓDIGOS,TÍTULOS CONTÁBEIS,ATRIBUTOS,E,conta
1.3.4.40.00.00-2,BANCO CENTRAL - TÍTULOS VINCULADOS A RECURSOS EXTERNOS,,130,1344000002
1.3.4.40.01.00-1,Títulos Públicos Federais,,-,1344001001
1.3.4.40.01.10-4,Saldo Contábil Bruto,,-,1344001104
1.3.4.40.01.40-3,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1344001403
1.3.4.40.01.70-2,(+/-) Ajuste de Hedge de Valor Justo,,-,1344001702
1.3.4.40.01.80-5,(+/-) Ajuste a Valor Justo,,-,1344001805
1.3.4.40.99.00-6,Outros,,-,1344099006
1.3.4.40.99.10-9,Saldo Contábil Bruto,,-,1344099109
1.3.4.40.99.40-8,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1344099408
1.3.4.40.99.60-4,(-) Perda Esperada Associada ao Risco de Crédito,,-,1344099604
1.3.4.40.99.70-7,(+/-) Ajuste de Hedge de Valor Justo,,-,1344099707
1.3.4.40.99.80-0,(+/-) Ajuste a Valor Justo,,-,1344099800
1.3.4.45.00.00-7,BANCO CENTRAL - TÍTULOS VINCULADOS A RECURSOS DE POUPANÇA,,130,1344500007
1.3.4.45.01.00-6,Títulos Públicos Federais,,-,1344501006
1.3.4.45.01.10-9,Saldo Contábil Bruto,,-,1344501109
1.3.4.45.01.40-8,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1344501408
1.3.4.45.01.70-7,(+/-) Ajuste de Hedge de Valor Justo,,-,1344501707
1.3.4.45.01.80-0,(+/-) Ajuste a Valor Justo,,-,1344501800
1.3.4.50.00.00-1,TÍTULOS DE RENDA FIXA BLOQUEADOS,,130,1345000001
1.3.6.00.00.00-0,Vinculados à Prestação de Garantias,,-,1360000000
1.3.6.10.00.00-9,TÍTULOS DADOS EM GARANTIA EM OPERAÇÕES EM BOLSAS,,130,1361000009
1.3.6.10.01.00-8,Títulos Públicos Federais,,-,1361001008
1.3.6.10.01.10-1,Saldo Contábil Bruto,,-,1361001101
1.3.6.10.01.40-0,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1361001400
1.3.6.10.01.70-9,(+/-) Ajuste de Hedge de Valor Justo,,-,1361001709
1.3.6.10.01.80-2,(+/-) Ajuste a Valor Justo,,-,1361001802
1.3.6.10.31.00-9,Títulos Privados - Renda Fixa,,-,1361031009
1.3.6.10.31.10-2,Saldo Contábil Bruto,,-,1361031102
1.3.6.10.31.40-1,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1361031401
1.3.6.10.31.60-7,(-) Perda Esperada Associada ao Risco de Crédito,,-,1361031607
1.3.6.10.31.70-0,(+/-) Ajuste de Hedge de Valor Justo,,-,1361031700
1.3.6.10.31.80-3,(+/-) Ajuste a Valor Justo,,-,1361031803
1.3.6.10.80.00-5,Títulos de Renda Variável,,-,1361080005
1.3.6.10.99.00-3,Outros,,-,1361099003
1.3.6.10.99.10-6,Saldo Contábil Bruto,,-,1361099106
1.3.6.10.99.40-5,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1361099405
1.3.6.10.99.60-1,(-) Perda Esperada Associada ao Risco de Crédito,,-,1361099601
1.3.6.10.99.70-4,(+/-) Ajuste de Hedge de Valor Justo,,-,1361099704
1.3.6.10.99.80-7,(+/-) Ajuste a Valor Justo,,-,1361099807
1.3.6.15.00.00-4,TÍTULOS DADOS EM GARANTIA DE OPERAÇÕES EM CÂMARAS DE LIQUIDAÇÃO E COMPENSAÇÃO,,130,1361500004
1.3.6.15.01.00-3,Títulos Públicos Federais,,-,1361501003
1.3.6.15.01.10-6,Saldo Contábil Bruto,,-,1361501106
1.3.6.15.01.40-5,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1361501405
1.3.6.15.01.70-4,(+/-) Ajuste de Hedge de Valor Justo,,-,1361501704
1.3.6.15.01.80-7,(+/-) Ajuste a Valor Justo,,-,1361501807
1.3.6.15.31.00-4,Títulos Privados - Renda Fixa,,-,1361531004
1.3.6.15.31.10-7,Saldo Contábil Bruto,,-,1361531107
1.3.6.15.31.40-6,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1361531406
1.3.6.15.31.60-2,(-) Perda Esperada Associada ao Risco de Crédito,,-,1361531602
1.3.6.15.31.70-5,(+/-) Ajuste de Hedge de Valor Justo,,-,1361531705
1.3.6.15.31.80-8,(+/-) Ajuste a Valor Justo,,-,1361531808
1.3.6.15.80.00-0,Títulos de Renda Variável,,-,1361580000
1.3.6.15.99.00-8,Outros,,-,1361599008
